variant_id,product_id,mrp,discount_percent,current_price,color,size,img_url,est_delivery_time,created_at,updated_at
80,3,1043.82,40,626.29,Blue,XL,,7 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
81,3,877.33,50,438.67,Brown,S,,2 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
82,3,823.25,40,493.95,Brown,M,,7 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
83,3,1952.37,50,976.18,Brown,L,,6 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
84,3,1129.46,20,903.57,Brown,XL,,3 days,2025-06-21 15:57:38+0530,2025-06-21 15:57:38+0530
85,4,1513.29,30,1059.3,Black,S,,5 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
86,4,870.26,30,609.18,Black,M,,2 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
87,4,1834.93,30,1284.45,Black,L,,7 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
88,4,1231.22,40,738.73,Black,XL,,2 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
89,4,1334.83,30,934.38,Grey,S,,6 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
90,4,1950.86,50,975.43,Grey,M,,2 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
91,4,749.63,10,674.67,Grey,L,,3 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
92,4,923.17,20,738.54,Grey,XL,,6 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
93,4,998.61,20,798.89,Green,S,,4 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
94,4,1808.34,30,1265.84,Green,M,,6 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
95,4,607.02,50,303.51,Green,L,,5 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
96,4,801.12,40,480.67,Green,XL,,5 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
97,4,709.54,50,354.77,Red,S,,6 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
98,4,752.65,10,677.38,Red,M,,6 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
99,4,1776.22,40,1065.73,Red,L,,6 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
100,4,737.39,20,589.91,Red,XL,,7 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
101,4,1643.54,10,1479.19,White,S,,1 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
102,4,1508.58,30,1056.01,White,M,,3 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
103,4,1013.25,10,911.92,White,L,,2 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
104,4,609.78,10,548.8,White,XL,,4 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
105,4,1205.19,10,1084.67,Blue,S,,3 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
106,4,741.29,30,518.9,Blue,M,,3 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
107,4,1435.91,40,861.55,Blue,L,,3 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
108,4,777.76,40,466.66,Blue,XL,,7 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
109,4,909.32,40,545.59,Brown,S,,6 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
110,4,1734.11,40,1040.47,Brown,M,,6 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
111,4,1983.21,50,991.61,Brown,L,,1 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
112,4,1244.39,50,622.2,Brown,XL,,3 days,2025-05-28 19:37:33+0530,2025-05-28 19:37:33+0530
113,5,1348.99,40,809.39,Black,S,,6 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
114,5,789.07,30,552.35,Black,M,,6 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
115,5,925.9,30,648.13,Black,L,,5 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
116,5,1448.11,30,1013.68,Black,XL,,5 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
117,5,594.02,10,534.62,Grey,S,,2 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
118,5,772.52,20,618.02,Grey,M,,7 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
119,5,503.28,20,402.62,Grey,L,,4 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
120,5,1222.05,40,733.23,Grey,XL,,3 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
121,5,1794.02,30,1255.81,Green,S,,7 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
122,5,1991.9,10,1792.71,Green,M,,1 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
123,5,610.94,50,305.47,Green,L,,3 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
124,5,708.19,40,424.91,Green,XL,,7 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
125,5,762.66,50,381.33,Red,S,,7 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
126,5,1346.8,50,673.4,Red,M,,4 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
127,5,741.15,30,518.8,Red,L,,5 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
128,5,1318.73,50,659.37,Red,XL,,1 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
129,5,859.68,10,773.71,White,S,,5 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
130,5,1188.27,10,1069.44,White,M,,3 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
131,5,1846.52,40,1107.91,White,L,,1 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
132,5,1842.11,40,1105.27,White,XL,,5 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
133,5,1506.52,40,903.91,Blue,S,,4 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
134,5,1718.89,50,859.45,Blue,M,,2 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
135,5,1700.94,50,850.47,Blue,L,,7 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
136,5,1225.52,30,857.86,Blue,XL,,6 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
137,5,1954.72,40,1172.83,Brown,S,,1 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
138,5,1679.73,20,1343.78,Brown,M,,4 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
139,5,1137.69,40,682.61,Brown,L,,1 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
140,5,1948.59,30,1364.01,Brown,XL,,5 days,2025-06-14 09:25:11+0530,2025-06-14 09:25:11+0530
141,6,1066.76,10,960.08,Black,S,,5 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
142,6,521.43,30,365,Black,M,,7 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
143,6,490.79,50,245.4,Black,L,,2 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
144,6,880.94,20,704.75,Black,XL,,7 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
145,6,970.79,40,582.47,Grey,S,,4 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
146,6,328.43,10,295.59,Grey,M,,4 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
147,6,942.1,10,847.89,Grey,L,,3 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
148,6,674.02,50,337.01,Grey,XL,,4 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
149,6,809.01,10,728.11,Green,S,,6 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
150,6,595.3,10,535.77,Green,M,,3 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
151,6,547.41,50,273.7,Green,L,,1 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
152,6,952.03,30,666.42,Green,XL,,4 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
153,6,489.41,50,244.71,Red,S,,6 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
154,6,390.89,30,273.62,Red,M,,5 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
155,6,344.84,20,275.87,Red,L,,7 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
156,6,1189.89,50,594.95,Red,XL,,1 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
157,6,364.37,30,255.06,White,S,,3 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
158,6,991.15,50,495.57,White,M,,3 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
159,6,593.8,30,415.66,White,L,,4 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
160,6,366.98,30,256.89,White,XL,,5 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
161,6,829.28,40,497.57,Blue,S,,7 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
162,6,1000.95,40,600.57,Blue,M,,5 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
163,6,1149.69,10,1034.72,Blue,L,,7 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
164,6,796.62,10,716.96,Blue,XL,,4 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
165,6,658.03,20,526.42,Brown,S,,5 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
166,6,406.97,10,366.27,Brown,M,,3 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
167,6,643.66,10,579.29,Brown,L,,4 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
168,6,1137.35,40,682.41,Brown,XL,,6 days,2025-06-02 00:05:35+0530,2025-06-02 00:05:35+0530
169,7,414.95,20,331.96,Black,S,,4 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
170,7,1156.3,10,1040.67,Black,M,,5 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
171,7,1131.35,20,905.08,Black,L,,4 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
172,7,1077.16,40,646.3,Black,XL,,3 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
173,7,551.13,50,275.56,Grey,S,,1 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
174,7,781.05,10,702.94,Grey,M,,7 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
175,7,1160.78,30,812.55,Grey,L,,3 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
176,7,322.2,40,193.32,Grey,XL,,1 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
177,7,523.63,50,261.81,Green,S,,2 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
178,7,597.48,50,298.74,Green,M,,1 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
179,7,1074.64,20,859.71,Green,L,,2 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
180,7,988.1,50,494.05,Green,XL,,7 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
181,7,372.34,30,260.64,Red,S,,7 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
182,7,305.89,10,275.3,Red,M,,1 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
183,7,838.78,10,754.9,Red,L,,6 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
184,7,667.28,40,400.37,Red,XL,,1 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
185,7,798.09,10,718.28,White,S,,1 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
186,7,1074.04,10,966.64,White,M,,1 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
187,7,1033.02,20,826.42,White,L,,6 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
188,7,715.71,50,357.86,White,XL,,7 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
189,7,994.16,20,795.33,Blue,S,,2 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
190,7,708.13,20,566.5,Blue,M,,7 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
191,7,1143.7,10,1029.33,Blue,L,,6 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
192,7,853.32,40,511.99,Blue,XL,,3 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
193,7,793.91,40,476.35,Brown,S,,2 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
194,7,315.35,50,157.68,Brown,M,,3 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
195,7,300.09,30,210.06,Brown,L,,4 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
196,7,435.78,40,261.47,Brown,XL,,6 days,2025-05-27 07:11:40+0530,2025-05-27 07:11:40+0530
197,8,373.74,40,224.24,Black,S,,6 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
198,8,686.18,20,548.94,Black,M,,4 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
199,8,1172.49,10,1055.24,Black,L,,7 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
200,8,905.52,10,814.97,Black,XL,,6 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
201,8,936.4,40,561.84,Grey,S,,7 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
202,8,373.05,50,186.53,Grey,M,,5 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
203,8,712.12,20,569.7,Grey,L,,4 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
204,8,337.44,40,202.46,Grey,XL,,4 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
205,8,1173.09,10,1055.78,Green,S,,2 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
206,8,621.58,40,372.95,Green,M,,7 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
207,8,1006.15,10,905.53,Green,L,,2 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
208,8,390.55,50,195.28,Green,XL,,1 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
209,8,760.91,50,380.45,Red,S,,5 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
210,8,970.95,30,679.66,Red,M,,1 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
211,8,640.26,10,576.23,Red,L,,3 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
212,8,691.18,10,622.06,Red,XL,,7 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
213,8,767.72,10,690.95,White,S,,3 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
214,8,720.69,20,576.55,White,M,,5 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
215,8,553.08,50,276.54,White,L,,1 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
216,8,703.04,50,351.52,White,XL,,3 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
217,8,413.75,40,248.25,Blue,S,,6 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
218,8,637.85,40,382.71,Blue,M,,6 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
219,8,719.06,10,647.15,Blue,L,,1 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
220,8,974.38,10,876.94,Blue,XL,,1 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
221,8,590.21,50,295.11,Brown,S,,6 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
222,8,816.48,40,489.89,Brown,M,,1 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
223,8,1186.48,30,830.54,Brown,L,,7 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
224,8,1159.99,10,1043.99,Brown,XL,,2 days,2025-06-07 12:53:49+0530,2025-06-07 12:53:49+0530
225,9,760.76,20,608.61,Black,S,,2 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
226,9,1195.65,20,956.52,Black,M,,6 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
227,9,623.59,20,498.87,Black,L,,6 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
228,9,1012.09,30,708.46,Black,XL,,2 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
229,9,782.24,40,469.34,Grey,S,,1 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
230,9,649.03,50,324.51,Grey,M,,4 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
231,9,514.6,30,360.22,Grey,L,,3 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
232,9,413.23,10,371.91,Grey,XL,,7 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
233,9,868.71,50,434.36,Green,S,,5 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
234,9,384.19,20,307.35,Green,M,,4 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
235,9,792.19,10,712.97,Green,L,,7 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
236,9,560.79,10,504.71,Green,XL,,5 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
237,9,836.32,50,418.16,Red,S,,7 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
238,9,1160.23,40,696.14,Red,M,,5 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
239,9,447.9,20,358.32,Red,L,,1 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
240,9,439.57,30,307.7,Red,XL,,2 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
241,9,797.84,10,718.06,White,S,,1 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
242,9,656.65,20,525.32,White,M,,3 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
243,9,946.08,20,756.86,White,L,,1 days,2025-06-20 00:30:08+0530,2025-06-20 00:30:08+0530
